long;lat;nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;calle_chapa;direccion_normalizada;ubicacion;nombre_cientifico;ancho_acera;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol;geometry;index_right;BARRIO;COMUNA
;;52562;Lineal;1;;Rawson de Dellepiane Elvira Av;;;RAWSON DE DELLEPIANE, ELVIRA AV.;LA;Jacaranda mimosifolia;;Ocupada;Regular;A nivel;30.0;6.0;;;;
;;52564;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;4;Ocupada;Regular;A nivel;29.0;8.0;;;;
;;52567;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;32.0;7.0;;;;
;;52571;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;25.0;9.0;;;;
;;52591;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;3.5;Ocupada;Regular;A nivel;46.0;20.0;;;;
;;52597;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;3.5;Ocupada;Regular;A nivel;96.0;21.0;;;;
;;52604;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;2.7;Ocupada;Regular;A nivel;42.0;16.0;;;;
;;52612;Lineal;1;;De la Rábida Av.;0.0;;;;Platanus x acerifolia;2.7;Ocupada;Regular;A nivel;104.0;18.0;;;;
;;52144;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;28.0;7.0;;;;
;;52145;Lineal;1;;Chaco;;;CHACO;LA;Jacaranda mimosifolia;3.8;Ocupada;Ochava;A nivel;21.0;8.0;;;;
;;52678;Lineal;1;;Achaval Rodriguez Tristán Dr. Av.;1100.0;;;LA;Jacaranda mimosifolia;3.5;Ocupada;Regular;A nivel;39.0;14.0;;;;
;;53519;Lineal;1;;Calabria Av.;;;CALABRIA AV.;LA;Jacaranda mimosifolia;3.8;Ocupada;Regular;A nivel;24.0;7.0;;;;
;;53520;Lineal;1;;Achaval Rodriguez Tristán Dr. Av.;;;;LA;Jacaranda mimosifolia;3.5;Ocupada;Regular;A nivel;30.0;7.0;;;;
;;53833;Lineal;1;;Pacini de Alvear Regina;300.0;;PACINI DE ALVEAR REGINA;LD;Peltophorum dubium;3.4;Ocupada;Regular;A nivel;39.0;15.0;;;;
;;53834;Lineal;1;;Pacini de Alvear Regina;300.0;;PACINI DE ALVEAR REGINA;LD;Peltophorum dubium;3.4;Ocupada;Regular;A nivel;32.0;17.0;;;;
;;53835;Lineal;1;;Pacini de Alvear Regina;300.0;;PACINI DE ALVEAR REGINA;LD;Peltophorum dubium;3.4;Ocupada;Regular;A nivel;36.0;16.0;;;;
;;53836;Lineal;1;;Pacini de Alvear Regina;300.0;;PACINI DE ALVEAR REGINA;LD;Peltophorum dubium;3.4;Ocupada;Regular;A nivel;25.0;16.0;;;;
;;53837;Lineal;1;;Pacini de Alvear Regina;300.0;;PACINI DE ALVEAR REGINA;LD;Peltophorum dubium;3.4;Ocupada;Regular;A nivel;40.0;18.0;;;;
;;53636;Lineal;1;;Mortz Alberto;;;MORTZ, ALBERTO;;Tipuana tipu;1.5;Ocupada;Fuera de línea;Elevada;86.0;10.0;;;;
